Q_TotalDuration,Sc1_text1,Sc1_Quiz1,Sc1_Quiz2,Sc1_Quiz3,Sc1_text2,Sc1_regret,sc1_text3,sc1_socnorms2,sc1_socnorms1,sc1_text4,sc1_combinednorms,Q53,Sc2_text,Sc2_quiz1,Sc2_quiz2,Sc2_quiz3,Sc2_text2,Sc2_regret,Sc2_text3,Sc2_random_1,Sc2_random_2,Sc2_lucky,Q54,Sc3_C1_text,Sc3_C1_quiz1,Sc3_C1_quiz2,Sc3_C1_quiz3,sc3_c1_text2,sc3_c1_compensation,sc3_c1_text3,sc3_c1_regret,Sc3_C2_text,Sc3_C2_quiz1,Sc3_C2_quiz2,Sc3_C2_quiz3,sc3_c2_text2,sc3_c2_compensation,sc3_c2_text3,sc3_c2_regret,Sc3_C3_text,Sc3_C3_quiz1,Sc3_C3_quiz2,Sc3_C3_quiz3,sc3_c3_text2,sc3_c3_compensation,sc3_c3_text3,sc3_c3_regret,age,gender,serious,engunder
108,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,4,6,1,1, , , , , , , , ,1,1,2,1,1,3,1,2, , , , , , , , ,24,1,4,7
195,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,39,2,5,7
327,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,4,4,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,7,1,4,45,3,4,7
321,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,56,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,1,1,4,52,1,5,7
175,1,1,2,4,1,2,1,1,2,1,1,1,1,1,2,4,1,1,1,56,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,3, , , , , , , , ,27,1,5,7
253,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,1,1,1,1,1,1,1,11,1,4, , , , , , , , , , , , , , , , ,33,2,5,7
385,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,3, , , , , , , , ,32,2,5,7
737,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,11,1,4,61,2,5,7
224,1,1,2,4,1,1,1,2,1,1,1,1,1,1,2,4,1,1,1,4,56,1,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,26,3,5,7
245,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,1,1,1,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , ,52,2,5,7
